iter	Passed	Remaining
0	136	136465
1	171	85445
2	173	57718
3	175	43757
4	177	35378
5	179	29754
6	181	25788
7	183	22803
8	185	20457
9	187	18587
10	189	17064
11	191	15793
12	193	14700
13	195	13801
14	198	13002
15	199	12285
16	201	11663
17	203	11103
18	205	10600
19	207	10153
20	209	9771
21	211	9413
22	213	9069
23	215	8758
24	217	8485
25	219	8225
26	222	8002
27	224	7786
28	226	7572
29	227	7366
30	229	7178
31	231	7000
32	233	6841
33	235	6684
34	236	6534
35	238	6391
36	240	6255
37	241	6124
38	243	5999
39	245	5880
40	246	5766
41	247	5654
42	249	5554
43	250	5452
44	252	5351
45	253	5255
46	254	5162
47	255	5070
48	256	4985
49	257	4901
50	258	4819
51	259	4738
52	260	4662
53	262	4591
54	263	4523
55	264	4451
56	265	4389
57	266	4326
58	267	4264
59	268	4204
60	269	4144
61	270	4088
62	271	4035
63	272	3985
64	273	3933
65	274	3885
66	275	3838
67	276	3785
68	277	3744
69	278	3701
70	279	3658
71	280	3617
72	281	3577
73	282	3536
74	283	3496
75	284	3458
76	285	3421
77	286	3383
78	287	3346
79	287	3311
80	288	3275
81	289	3241
82	290	3208
83	291	3175
84	291	3140
85	292	3110
86	293	3076
87	294	3047
88	294	3018
89	295	2990
90	296	2963
91	297	2937
92	298	2910
93	299	2884
94	300	2859
95	300	2833
96	301	2809
97	302	2785
98	303	2761
99	304	2738
100	305	2716
101	305	2690
102	306	2668
103	307	2647
104	308	2627
105	309	2607
106	310	2587
107	310	2568
108	311	2548
109	312	2529
110	313	2510
111	314	2492
112	315	2473
113	315	2455
114	316	2437
115	317	2419
116	318	2402
117	319	2386
118	319	2368
119	320	2352
120	321	2336
121	322	2320
122	322	2302
123	323	2288
124	325	2276
125	326	2265
126	327	2249
127	327	2232
128	328	2218
129	329	2203
130	330	2189
131	330	2175
132	331	2161
133	332	2147
134	333	2134
135	333	2120
136	334	2107
137	335	2093
138	335	2080
139	336	2067
140	337	2056
141	338	2044
142	339	2031
143	339	2019
144	340	2007
145	341	1996
146	342	1984
147	342	1973
148	343	1962
149	344	1951
150	345	1939
151	345	1928
152	346	1917
153	347	1906
154	347	1896
155	348	1885
156	349	1875
157	349	1865
158	350	1854
159	351	1844
160	351	1834
161	353	1827
162	353	1817
163	354	1807
164	355	1797
165	355	1787
166	356	1778
167	357	1768
168	357	1759
169	358	1750
170	359	1740
171	359	1731
172	360	1722
173	360	1713
174	361	1704
175	362	1695
176	362	1687
177	363	1678
178	364	1669
179	364	1661
180	365	1651
181	365	1643
182	366	1635
183	367	1627
184	367	1619
185	368	1611
186	368	1603
187	369	1596
188	370	1588
189	370	1580
190	371	1573
191	372	1565
192	372	1558
193	373	1551
194	374	1543
195	374	1536
196	375	1529
197	375	1522
198	376	1515
199	377	1508
200	377	1501
201	378	1495
202	379	1488
203	379	1482
204	380	1475
205	381	1469
206	381	1462
207	382	1456
208	383	1449
209	383	1443
210	384	1437
211	384	1430
212	385	1424
213	386	1418
214	386	1412
215	387	1406
216	388	1400
217	388	1394
218	389	1388
219	390	1383
220	390	1377
221	391	1371
222	392	1366
223	392	1360
224	393	1354
225	393	1349
226	394	1343
227	395	1338
228	395	1333
229	396	1327
230	397	1322
231	397	1316
232	398	1311
233	399	1306
234	399	1301
235	400	1296
236	401	1290
237	401	1285
238	402	1280
239	402	1275
240	403	1271
241	404	1266
242	404	1261
243	405	1256
244	406	1252
245	406	1247
246	407	1242
247	408	1237
248	408	1233
249	409	1228
250	410	1223
251	410	1219
252	411	1214
253	412	1210
254	412	1205
255	413	1200
256	413	1196
257	414	1192
258	415	1187
259	415	1183
260	416	1179
261	417	1174
262	417	1170
263	418	1166
264	418	1162
265	419	1157
266	420	1153
267	421	1149
268	421	1145
269	422	1141
270	422	1137
271	423	1133
272	424	1129
273	424	1125
274	425	1121
275	426	1117
276	426	1113
277	427	1109
278	428	1106
279	428	1102
280	429	1098
281	429	1094
282	430	1090
283	431	1087
284	431	1083
285	432	1079
286	433	1076
287	433	1072
288	434	1069
289	435	1065
290	435	1062
291	436	1058
292	437	1055
293	437	1051
294	438	1048
295	439	1044
296	439	1041
297	440	1037
298	441	1034
299	441	1030
300	442	1027
301	442	1023
302	443	1020
303	444	1017
304	444	1013
305	445	1010
306	446	1007
307	446	1003
308	447	1000
309	448	997
310	448	994
311	449	990
312	450	987
313	450	984
314	451	981
315	451	978
316	452	975
317	453	971
318	453	968
319	454	966
320	455	963
321	456	960
322	456	957
323	457	954
324	458	951
325	458	948
326	459	945
327	460	942
328	460	939
329	461	936
330	462	933
331	462	930
332	463	927
333	463	925
334	464	922
335	465	919
336	465	916
337	466	913
338	467	911
339	467	908
340	468	905
341	469	902
342	469	900
343	470	897
344	471	894
345	471	891
346	472	888
347	472	886
348	473	883
349	474	880
350	474	877
351	475	875
352	475	872
353	476	869
354	477	867
355	477	864
356	478	862
357	479	859
358	479	856
359	480	854
360	481	851
361	481	849
362	482	846
363	483	844
364	483	841
365	484	839
366	485	837
367	486	834
368	486	832
369	487	829
370	487	827
371	488	824
372	489	822
373	489	819
374	490	817
375	491	815
376	491	813
377	492	810
378	493	808
379	493	805
380	494	803
381	495	801
382	495	798
383	496	796
384	497	794
385	497	791
386	498	789
387	499	787
388	499	785
389	500	782
390	501	780
391	501	778
392	502	776
393	503	773
394	503	771
395	504	769
396	505	767
397	505	764
398	506	763
399	507	760
400	507	758
401	508	756
402	509	754
403	509	752
404	510	749
405	511	747
406	511	745
407	512	743
408	513	741
409	513	739
410	514	737
411	515	735
412	515	733
413	516	731
414	517	728
415	517	726
416	518	724
417	518	722
418	519	720
419	520	718
420	521	716
421	521	714
422	522	712
423	522	710
424	523	708
425	524	706
426	524	704
427	525	702
428	526	700
429	526	698
430	527	696
431	528	694
432	528	692
433	529	690
434	530	688
435	530	686
436	531	684
437	531	682
438	532	680
439	533	678
440	533	676
441	534	674
442	535	672
443	535	671
444	536	669
445	537	667
446	537	665
447	538	663
448	539	661
449	539	659
450	540	657
451	541	655
452	541	654
453	542	652
454	542	650
455	543	648
456	544	646
457	544	644
458	545	643
459	546	641
460	546	639
461	547	637
462	548	635
463	548	634
464	549	632
465	550	631
466	553	631
467	554	630
468	554	628
469	556	627
470	556	625
471	557	623
472	558	621
473	558	619
474	559	618
475	559	616
476	560	614
477	561	612
478	561	611
479	562	609
480	563	607
481	563	605
482	564	604
483	565	603
484	566	601
485	567	599
486	567	598
487	568	596
488	569	594
489	570	593
490	570	591
491	571	590
492	572	588
493	572	586
494	573	585
495	574	583
496	575	582
497	575	580
498	576	578
499	577	577
500	577	575
501	578	573
502	578	572
503	580	571
504	581	570
505	582	568
506	582	566
507	583	565
508	584	563
509	584	561
510	585	560
511	586	558
